Epoch,Open,High,Low,Close,Volume,Number
2023-12-16 20:10:00+00:00,2240.26,2240.4,2239.37,2239.55,794008.200355,900
2023-12-16 20:15:00+00:00,2239.55,2240.33,2237.65,2239.68,1387144.947504,1088
2023-12-16 20:20:00+00:00,2239.68,2239.69,2238.51,2238.66,1094727.5490239998,796
2023-12-16 20:25:00+00:00,2238.66,2240.05,2237.44,2239.49,1057021.727795,1089
2023-12-16 20:30:00+00:00,2239.49,2240.02,2238.0,2239.0,725322.707489,961
2023-12-16 20:35:00+00:00,2239.0,2240.76,2238.0,2238.41,1407540.590487,987
2023-12-16 20:40:00+00:00,2238.41,2238.97,2238.01,2238.02,569389.325199,736
2023-12-16 20:45:00+00:00,2238.02,2238.83,2235.26,2235.74,720928.2672310001,1149
2023-12-16 20:50:00+00:00,2235.74,2236.65,2235.27,2235.32,484285.771748,810
2023-12-16 20:55:00+00:00,2235.32,2238.91,2233.05,2237.7,1024698.236894,1116
2023-12-16 21:00:00+00:00,2237.7,2239.27,2237.54,2238.53,497260.28686600004,961
2023-12-16 21:05:00+00:00,2238.53,2238.55,2233.99,2234.16,958124.7705710001,1102
2023-12-16 21:10:00+00:00,2234.16,2237.58,2233.46,2237.34,596018.025098,969
2023-12-16 21:15:00+00:00,2237.34,2238.8,2236.74,2236.9,360868.24800900003,833
2023-12-16 21:20:00+00:00,2236.9,2238.02,2236.6,2236.69,766139.826803,805
2023-12-16 21:25:00+00:00,2236.69,2236.69,2233.25,2234.25,1341619.317452,1048
2023-12-16 21:30:00+00:00,2234.25,2237.96,2234.24,2237.95,1690590.7629419998,1104
2023-12-16 21:35:00+00:00,2237.95,2238.02,2234.27,2234.27,1036410.019025,993
2023-12-16 21:40:00+00:00,2234.27,2235.02,2231.68,2232.28,693629.203151,1095
2023-12-16 21:45:00+00:00,2232.28,2233.87,2227.56,2231.5,2516544.092028,1851
2023-12-16 21:50:00+00:00,2231.5,2232.52,2228.46,2232.13,2036382.300086,1559
2023-12-16 21:55:00+00:00,2232.13,2232.6,2230.2,2230.38,1488552.319403,1085
2023-12-16 22:00:00+00:00,2230.38,2232.83,2228.6,2228.98,1039311.020779,1371
2023-12-16 22:05:00+00:00,2228.98,2229.97,2224.67,2228.75,3330788.317943,2137
2023-12-16 22:10:00+00:00,2228.75,2234.15,2228.28,2232.76,2127310.786252,1247
2023-12-16 22:15:00+00:00,2232.76,2233.28,2231.06,2233.21,1815242.568783,996
2023-12-16 22:20:00+00:00,2233.21,2234.6,2231.87,2231.87,2791533.677104,1270
2023-12-16 22:25:00+00:00,2231.87,2232.05,2228.15,2229.73,2574110.0674159997,1299
2023-12-16 22:30:00+00:00,2229.73,2229.79,2228.07,2228.07,1295893.232054,777
2023-12-16 22:35:00+00:00,2228.07,2228.29,2226.05,2226.05,744838.0438919999,938
